     acidity  volatility level  citric level  sugar concentration  chloride  sulfur  sum of sulfur  density level    PH  sulphate quantity  alcohol level  quality
100     13.8             0.760          0.32                 2.25     0.504      17             53         0.9972  3.91              0.713          10.25        7
101     13.3             0.650          0.32                 2.05     0.495      14             25         0.9959  3.82              0.663          10.45        7
102     13.6             0.695          0.20                 2.05     0.500      19             38         0.9972  3.81              0.693           9.05        7
103     13.6             0.725          0.24                 2.25     0.497      18             68         0.9967  3.80              0.613           9.25        6
104     12.7             0.640          0.26                 2.35     0.490      11             39         0.9960  3.84              0.583           9.45        6
105     13.6             0.725          0.24                 2.25     0.497      18             68         0.9967  3.80              0.613           9.25        6
106     13.3             0.560          0.70                 1.85     0.887      24             72         0.9973  3.59              1.413           9.35        6
107     11.7             0.780          0.33                 1.85     0.508      21             67         0.9969  3.97              0.893           9.35        6
108     13.5             0.480          0.55                 2.65     0.511      24             83         0.9976  3.88              0.903           9.65        7
109     13.6             0.935          0.54                 2.15     0.542      43            156         0.9969  3.72              0.793           9.35        6
110     13.3             0.710          0.21                 1.95     0.524      18             50         0.9964  3.70              1.033           9.55        6
111     13.9             0.770          0.11                 2.35     0.504      17            111         0.9964  3.66              0.763           9.85        6
112     13.9             0.750          0.12                 2.35     0.505      20            114         0.9964  3.66              0.763           9.85        6
113     15.6             0.460          0.46                 2.45     0.500      28             49         0.9988  3.83              0.773           9.75        7
114     13.3             0.710          0.21                 1.95     0.524      18             50         0.9964  3.70              1.033           9.55        6
115     14.9             0.550          0.33                 2.35     0.510      19             65         0.9966  3.58              0.733          10.55        7
116     13.8             0.690          0.30                 2.05     0.497      17             43         0.9978  3.90              0.713          10.05        7
117     13.3             0.710          0.14                 2.15     0.502      13             31         0.9970  3.88              0.603           9.45        7
118     14.3             0.700          0.06                 2.35     0.539      20             59         0.9962  3.72              0.703          10.95        7
119     12.5             0.840          0.10                 1.95     0.517      28             92         0.9959  3.85              0.643           9.25        7
120     12.8             1.220          0.11                 1.85     0.598      16             92         0.9962  3.81              0.673           9.05        6
121     14.3             0.700          0.06                 2.35     0.539      20             59         0.9962  3.72              0.703          10.95        7
122     12.8             0.845          0.02                 2.65     0.495       9             16         0.9980  4.00              0.623           9.25        6
123     13.5             0.860          0.02                 2.75     0.500      17             37         0.9976  3.95              0.633           9.55        6
124     13.3             0.650          0.19                 1.75     0.502      27            105         0.9960  3.90              0.583           9.55        6
125     14.5             0.770          0.06                 2.05     0.566      33             93         0.9984  3.67              0.803           9.45        6
126     13.7             1.480          0.02                 1.85     0.501       9             15         0.9964  4.04              0.593          10.95        6
127     13.6             1.480          0.02                 1.95     0.502       9             15         0.9964  4.05              0.583          10.95        6
128     13.5             0.740          0.18                 1.95     0.485       9             19         0.9962  3.93              1.023          10.55        8
129     11.6             0.530          0.17                 1.95     0.492      12             22         0.9955  3.93              0.673           9.45        6
130     13.5             0.895          0.58                 2.15     0.538      36            137         0.9968  3.75              0.763           9.45        6
131     11.1             0.650          0.11                 2.45     0.469      23            102         0.9937  4.14              0.733          13.05        6
132     11.1             0.650          0.11                 2.45     0.469      23            102         0.9937  4.14              0.733          13.05        6
133     12.1             0.650          0.03                 1.65     0.480      23             29         0.9952  3.91              0.683           9.85        7
134     13.4             1.190          0.07                 2.35     0.504      19             32         0.9959  3.73              0.653           9.95        7
135     13.9             0.895          0.13                 2.05     0.510      22             66         0.9965  3.70              0.923           9.65        6
136     13.8             0.865          0.17                 1.95     0.509      16             55         0.9968  3.74              0.873           9.55        6
137     12.7             0.565          0.38                 2.15     0.501      19             48         0.9972  3.99              0.743           9.25        6
138     13.3             0.710          0.21                 2.25     0.501      21            108         0.9962  3.84              0.643           9.55        6
139     13.3             0.710          0.21                 2.15     0.501      23            111         0.9962  3.83              0.643           9.55        6
140     13.9             0.895          0.13                 2.05     0.510      22             66         0.9965  3.70              0.923           9.65        6
141     13.8             0.865          0.17                 1.95     0.509      16             55         0.9968  3.74              0.873           9.55        6
142     10.7             0.490          0.02                 1.95     0.470      33             66         0.9916  4.19              0.893          14.05        7
143     11.8             0.540          0.10                 1.85     0.486       9             23         0.9954  3.85              0.683           9.45        6
144     10.7             0.490          0.02                 1.95     0.470      33             66         0.9916  4.19              0.893          14.05        7
145     13.6             0.820          0.57                 1.95     0.537      38            144         0.9968  3.68              0.723           9.45        6
146     11.3             0.830          0.04                 1.95     0.507      27             97         0.9944  4.05              0.623          10.05        6
147     13.1             0.640          0.28                 1.75     0.656      16             91         0.9968  3.62              0.903           9.35        6
148     12.4             0.640          0.12                 2.45     0.494      18             33         0.9959  3.93              0.683          10.25        7
149     13.7             0.550          0.46                 2.95     0.509      17             46         0.9975  4.04              0.713          10.55        7
black wine sample:      acidity  volatility level  citric level  sugar concentration  ...    PH  sulphate quantity  alcohol level  quality
100     13.8             0.760          0.32                 2.25  ...  3.91              0.713          10.25        7
101     13.3             0.650          0.32                 2.05  ...  3.82              0.663          10.45        7
102     13.6             0.695          0.20                 2.05  ...  3.81              0.693           9.05        7
103     13.6             0.725          0.24                 2.25  ...  3.80              0.613           9.25        6
104     12.7             0.640          0.26                 2.35  ...  3.84              0.583           9.45        6
105     13.6             0.725          0.24                 2.25  ...  3.80              0.613           9.25        6
106     13.3             0.560          0.70                 1.85  ...  3.59              1.413           9.35        6
107     11.7             0.780          0.33                 1.85  ...  3.97              0.893           9.35        6
108     13.5             0.480          0.55                 2.65  ...  3.88              0.903           9.65        7
109     13.6             0.935          0.54                 2.15  ...  3.72              0.793           9.35        6
110     13.3             0.710          0.21                 1.95  ...  3.70              1.033           9.55        6
111     13.9             0.770          0.11                 2.35  ...  3.66              0.763           9.85        6
112     13.9             0.750          0.12                 2.35  ...  3.66              0.763           9.85        6
113     15.6             0.460          0.46                 2.45  ...  3.83              0.773           9.75        7
114     13.3             0.710          0.21                 1.95  ...  3.70              1.033           9.55        6
115     14.9             0.550          0.33                 2.35  ...  3.58              0.733          10.55        7
116     13.8             0.690          0.30                 2.05  ...  3.90              0.713          10.05        7
117     13.3             0.710          0.14                 2.15  ...  3.88              0.603           9.45        7
118     14.3             0.700          0.06                 2.35  ...  3.72              0.703          10.95        7
119     12.5             0.840          0.10                 1.95  ...  3.85              0.643           9.25        7
120     12.8             1.220          0.11                 1.85  ...  3.81              0.673           9.05        6
121     14.3             0.700          0.06                 2.35  ...  3.72              0.703          10.95        7
122     12.8             0.845          0.02                 2.65  ...  4.00              0.623           9.25        6
123     13.5             0.860          0.02                 2.75  ...  3.95              0.633           9.55        6
124     13.3             0.650          0.19                 1.75  ...  3.90              0.583           9.55        6
125     14.5             0.770          0.06                 2.05  ...  3.67              0.803           9.45        6
126     13.7             1.480          0.02                 1.85  ...  4.04              0.593          10.95        6
127     13.6             1.480          0.02                 1.95  ...  4.05              0.583          10.95        6
128     13.5             0.740          0.18                 1.95  ...  3.93              1.023          10.55        8
129     11.6             0.530          0.17                 1.95  ...  3.93              0.673           9.45        6
130     13.5             0.895          0.58                 2.15  ...  3.75              0.763           9.45        6
131     11.1             0.650          0.11                 2.45  ...  4.14              0.733          13.05        6
132     11.1             0.650          0.11                 2.45  ...  4.14              0.733          13.05        6
133     12.1             0.650          0.03                 1.65  ...  3.91              0.683           9.85        7
134     13.4             1.190          0.07                 2.35  ...  3.73              0.653           9.95        7
135     13.9             0.895          0.13                 2.05  ...  3.70              0.923           9.65        6
136     13.8             0.865          0.17                 1.95  ...  3.74              0.873           9.55        6
137     12.7             0.565          0.38                 2.15  ...  3.99              0.743           9.25        6
138     13.3             0.710          0.21                 2.25  ...  3.84              0.643           9.55        6
139     13.3             0.710          0.21                 2.15  ...  3.83              0.643           9.55        6
140     13.9             0.895          0.13                 2.05  ...  3.70              0.923           9.65        6
141     13.8             0.865          0.17                 1.95  ...  3.74              0.873           9.55        6
142     10.7             0.490          0.02                 1.95  ...  4.19              0.893          14.05        7
143     11.8             0.540          0.10                 1.85  ...  3.85              0.683           9.45        6
144     10.7             0.490          0.02                 1.95  ...  4.19              0.893          14.05        7
145     13.6             0.820          0.57                 1.95  ...  3.68              0.723           9.45        6
146     11.3             0.830          0.04                 1.95  ...  4.05              0.623          10.05        6
147     13.1             0.640          0.28                 1.75  ...  3.62              0.903           9.35        6
148     12.4             0.640          0.12                 2.45  ...  3.93              0.683          10.25        7
149     13.7             0.550          0.46                 2.95  ...  4.04              0.713          10.55        7

[50 rows x 12 columns]
