     acidity  volatility level  citric level  sugar concentration  chloride  sulfur  sum of sulfur  density level    PH  sulphate quantity  alcohol level  quality
100     8.39            0.1793         0.269                16.50     0.039    45.0          167.0         0.9375  3.40               0.69            6.6        7
101     8.09            0.0493         0.219                12.60     0.033    57.0          137.0         0.9362  3.80               0.66            6.9        7
102     6.99            0.1393         0.139                15.10     0.029    48.0          139.0         0.9370  3.74               0.64            6.9        7
103     8.49            0.2343         0.299                21.90     0.038    37.0          145.0         0.9400  3.39               0.71            6.5        7
104     8.39            0.1793         0.269                16.50     0.039    45.0          167.0         0.9375  3.40               0.69            6.6        7
105     8.29            0.0593         0.219                17.40     0.030    27.0           84.0         0.9374  3.60               0.60            6.7        7
106     8.09            0.0493         0.219                12.60     0.033    57.0          137.0         0.9362  3.80               0.66            6.9        6
107     8.09            0.1593         0.249                19.50     0.019    53.0          146.0         0.9390  3.56               0.84            6.6        6
108     8.09            0.1593         0.249                19.50     0.019    53.0          146.0         0.9390  3.56               0.84            6.6        6
109     7.89            0.2593         0.179                 4.30     0.030    30.0          162.0         0.9327  3.67               0.85            7.8        6
110     7.49            0.0993         0.439                11.50     0.061    57.0          138.0         0.9359  3.29               0.64            6.3        6
111     8.19            0.1993         0.359                21.75     0.031    38.0          230.0         0.9400  3.44               0.77            6.4        6
112     8.19            0.2393         0.399                16.30     0.035    61.0          170.0         0.9382  3.41               0.72            6.7        6
113     7.69            0.3393         0.239                12.20     0.028    22.0          125.0         0.9368  3.62               0.76            6.6        6
114     7.69            0.3393         0.239                12.20     0.028    22.0          125.0         0.9368  3.62               0.76            6.6        6
115     6.49            0.4143        -0.101                 4.50     0.044     1.0           78.0         0.9340  4.03               0.65            7.2        6
116     6.99            0.2393         0.139                 6.30     0.020    18.0          118.0         0.9314  3.71               0.69            8.8        6
117     7.99            0.0693         0.299                 4.70     0.014     9.0           60.0         0.9311  3.59               0.67            9.3        9
118     8.19            0.2393         0.399                16.30     0.035    61.0          170.0         0.9382  3.41               0.72            6.7        9
119     8.29            0.2493         0.379                16.30     0.039    50.0          171.0         0.9382  3.44               0.75            6.7        9
120     6.89            0.2893        -0.061                 8.70     0.025    14.0           62.0         0.9334  3.62               0.76            7.7        9
121     8.79            0.1693         0.219                15.20     0.033    35.0          113.0         0.9384  3.41               0.79            6.3        9
122     8.39            0.0893         0.209                 9.85     0.038    24.0          106.0         0.9352  3.69               0.59            7.2        9
123     7.89            0.1193         0.179                 8.00     0.037     7.0          121.0         0.9352  3.69               0.61            6.6        9
124     7.39            0.0593         0.369                 4.60     0.071    33.0          133.0         0.9328  3.61               0.61            7.3        9
125     7.69            0.1193         0.259                 4.10     0.005    56.0          118.0         0.9312  3.67               0.73            8.5        9
126     8.39            0.3193         0.129                10.00     0.012    22.0          101.0         0.9340  3.54               0.67            8.0        9
127     7.49            0.1693         0.219                10.60     0.017    41.0          178.0         0.9358  3.85               0.79            7.2        9
128     7.09            0.2293         0.459                 5.80     0.023    40.0          154.0         0.9324  3.70               0.82            8.4        9
129     7.09            0.2293         0.459                 5.70     0.025    39.0          159.0         0.9324  3.71               0.82            8.4        9
130     6.69            0.1893         0.149                13.40    -0.001     0.0           32.0         0.9340  3.79               0.62            8.1        9
131     7.49            0.1693         0.219                10.60     0.017    41.0          178.0         0.9358  3.85               0.79            7.2        7
132     7.49            0.3543         0.299                16.10     0.017    52.0          216.0         0.9379  3.63               0.82            6.5        7
133     7.59            0.1693         0.169                18.80     0.014    39.0          163.0         0.9382  3.64               0.76            6.7        7
134     7.79            0.1993         0.119                11.10     0.013    48.0          178.0         0.9361  3.59               0.77            6.4        7
135     7.69            0.1993         0.209                18.70     0.015    37.0          154.0         0.9379  3.66               0.81            7.1        7
136     9.19            0.1593         0.299                 4.20     0.006    29.0           96.0         0.9320  3.52               0.63            8.2        7
137     8.09            0.2993         0.569                13.50     0.024    42.0          130.0         0.9375  3.56               0.69            6.2        7
138     7.79            0.1193         0.259                 4.90     0.014    23.0           71.0         0.9317  3.55               0.79            8.3        7
139     9.09            0.2093         0.289                 4.90     0.008    11.0           54.0         0.9323  3.63               0.77            9.3        8
140     7.29            0.2393         0.239                 5.20     0.024    13.0           52.0         0.9327  3.70               0.68            7.7        8
141     8.09            0.2993         0.569                13.50     0.024    42.0          130.0         0.9375  3.56               0.69            6.2        8
142     8.89            0.1393         0.299                 4.20     0.018    31.0           82.0         0.9320  3.61               0.79            8.3        8
143     9.49            0.1393         0.309                 7.30     0.015    17.0           74.0         0.9347  3.58               0.78            7.2        8
144     9.09            0.1293         0.299                 5.00     0.016    12.0           62.0         0.9321  3.52               0.79            8.7        8
145     7.29            0.1843         0.269                 4.10     0.019    30.0           89.0         0.9305  3.40               0.64            8.4        8
146     6.59            0.0893         0.169                 4.40     0.023    46.0          143.0         0.9318  3.68               0.62            7.6        8
147     7.39            0.5243         0.039                 8.20     0.037     8.0           72.0         0.9351  3.78               0.61            6.5        8
148     7.29            0.2693         0.229                 7.60     0.013    12.0           55.0         0.9317  3.78               0.83            9.5        6
149     7.89            0.1793         0.199                 7.10     0.033    16.0           91.0         0.9340  3.39               0.63            6.9        6
red wine sample:      acidity  volatility level  citric level  sugar concentration  ...    PH  sulphate quantity  alcohol level  quality
100     8.39            0.1793         0.269                16.50  ...  3.40               0.69            6.6        7
101     8.09            0.0493         0.219                12.60  ...  3.80               0.66            6.9        7
102     6.99            0.1393         0.139                15.10  ...  3.74               0.64            6.9        7
103     8.49            0.2343         0.299                21.90  ...  3.39               0.71            6.5        7
104     8.39            0.1793         0.269                16.50  ...  3.40               0.69            6.6        7
105     8.29            0.0593         0.219                17.40  ...  3.60               0.60            6.7        7
106     8.09            0.0493         0.219                12.60  ...  3.80               0.66            6.9        6
107     8.09            0.1593         0.249                19.50  ...  3.56               0.84            6.6        6
108     8.09            0.1593         0.249                19.50  ...  3.56               0.84            6.6        6
109     7.89            0.2593         0.179                 4.30  ...  3.67               0.85            7.8        6
110     7.49            0.0993         0.439                11.50  ...  3.29               0.64            6.3        6
111     8.19            0.1993         0.359                21.75  ...  3.44               0.77            6.4        6
112     8.19            0.2393         0.399                16.30  ...  3.41               0.72            6.7        6
113     7.69            0.3393         0.239                12.20  ...  3.62               0.76            6.6        6
114     7.69            0.3393         0.239                12.20  ...  3.62               0.76            6.6        6
115     6.49            0.4143        -0.101                 4.50  ...  4.03               0.65            7.2        6
116     6.99            0.2393         0.139                 6.30  ...  3.71               0.69            8.8        6
117     7.99            0.0693         0.299                 4.70  ...  3.59               0.67            9.3        9
118     8.19            0.2393         0.399                16.30  ...  3.41               0.72            6.7        9
119     8.29            0.2493         0.379                16.30  ...  3.44               0.75            6.7        9
120     6.89            0.2893        -0.061                 8.70  ...  3.62               0.76            7.7        9
121     8.79            0.1693         0.219                15.20  ...  3.41               0.79            6.3        9
122     8.39            0.0893         0.209                 9.85  ...  3.69               0.59            7.2        9
123     7.89            0.1193         0.179                 8.00  ...  3.69               0.61            6.6        9
124     7.39            0.0593         0.369                 4.60  ...  3.61               0.61            7.3        9
125     7.69            0.1193         0.259                 4.10  ...  3.67               0.73            8.5        9
126     8.39            0.3193         0.129                10.00  ...  3.54               0.67            8.0        9
127     7.49            0.1693         0.219                10.60  ...  3.85               0.79            7.2        9
128     7.09            0.2293         0.459                 5.80  ...  3.70               0.82            8.4        9
129     7.09            0.2293         0.459                 5.70  ...  3.71               0.82            8.4        9
130     6.69            0.1893         0.149                13.40  ...  3.79               0.62            8.1        9
131     7.49            0.1693         0.219                10.60  ...  3.85               0.79            7.2        7
132     7.49            0.3543         0.299                16.10  ...  3.63               0.82            6.5        7
133     7.59            0.1693         0.169                18.80  ...  3.64               0.76            6.7        7
134     7.79            0.1993         0.119                11.10  ...  3.59               0.77            6.4        7
135     7.69            0.1993         0.209                18.70  ...  3.66               0.81            7.1        7
136     9.19            0.1593         0.299                 4.20  ...  3.52               0.63            8.2        7
137     8.09            0.2993         0.569                13.50  ...  3.56               0.69            6.2        7
138     7.79            0.1193         0.259                 4.90  ...  3.55               0.79            8.3        7
139     9.09            0.2093         0.289                 4.90  ...  3.63               0.77            9.3        8
140     7.29            0.2393         0.239                 5.20  ...  3.70               0.68            7.7        8
141     8.09            0.2993         0.569                13.50  ...  3.56               0.69            6.2        8
142     8.89            0.1393         0.299                 4.20  ...  3.61               0.79            8.3        8
143     9.49            0.1393         0.309                 7.30  ...  3.58               0.78            7.2        8
144     9.09            0.1293         0.299                 5.00  ...  3.52               0.79            8.7        8
145     7.29            0.1843         0.269                 4.10  ...  3.40               0.64            8.4        8
146     6.59            0.0893         0.169                 4.40  ...  3.68               0.62            7.6        8
147     7.39            0.5243         0.039                 8.20  ...  3.78               0.61            6.5        8
148     7.29            0.2693         0.229                 7.60  ...  3.78               0.83            9.5        6
149     7.89            0.1793         0.199                 7.10  ...  3.39               0.63            6.9        6

[50 rows x 12 columns]
